experiment,n,seed,method,status,N_DCA,N_E,N_Av,first_escape_dca,q,S,runtime_sec,stages_completed,objective_gap,ref_feas,ref_stationarity,ref_complementarity,ref_shifted_psd
E1,50,18,post_dca,GREEN_POST,67,1,52,39.0,-2.5,9.013172290180986e-11,0.013861142999985001,1,1.77635683940025e-15,2.220446049250313e-16,6.6234283948559445e-15,1.1102230246251552e-15,-3.552713678800501e-15
E1,50,18,cold_cc_dca,GREEN,61,1,32,17.0,-2.4999999992675592,5.412731211700836e-05,0.0062189259999740005,1,7.324425510546462e-10,2.220446049250313e-16,6.6234283948559445e-15,1.1102230246251552e-15,-3.552713678800501e-15
E1,50,18,persistent_cc_dca,GREEN,61,1,29,17.0,-2.4999999992675592,5.412731211700836e-05,0.0062239229998790006,1,7.324425510546462e-10,2.220446049250313e-16,6.6234283948559445e-15,1.1102230246251552e-15,-3.552713678800501e-15
E1,50,19,plain_dca,FIRST_ORDER,39,0,0,,-1.5,6.956856290295242e-11,0.0010112610000300002,0,0.9999999999999951,0.0,3.2207027607008342e-15,4.440892098500623e-15,-3.552713678800501e-15
E1,50,19,post_dca,GREEN_POST,67,1,52,39.0,-2.499999999999999,9.013276825143492e-11,0.013600500999928001,1,-4.440892098500626e-15,0.0,3.2207027607008342e-15,4.440892098500623e-15,-3.552713678800501e-15
E1,50,19,cold_cc_dca,GREEN,62,1,33,17.0,-2.499999999170793,5.759187977427688e-05,0.006305586000053,1,8.292015962751975e-10,0.0,3.2207027607008342e-15,4.440892098500623e-15,-3.552713678800501e-15
E1,50,19,persistent_cc_dca,GREEN,62,1,29,17.0,-2.499999999170793,5.759187977427688e-05,0.005932536000045001,1,8.292015962751975e-10,0.0,3.2207027607008342e-15,4.440892098500623e-15,-3.552713678800501e-15
E1,100,0,plain_dca,FIRST_ORDER,40,0,0,,-1.4999999999999991,7.1610274814155e-11,0.001179594000177,0,1.000000000000001,2.220446049250313e-16,3.8830434773746475e-15,1.1102230246251561e-15,8.881784197001252e-16
E1,100,0,post_dca,GREEN_POST,68,1,54,40.0,-2.5,9.0133544405278e-11,0.013782835000029001,1,8.881784197001252e-16,2.220446049250313e-16,3.8830434773746475e-15,1.1102230246251561e-15,8.881784197001252e-16
E1,100,0,cold_cc_dca,GREEN,71,1,34,17.0,-2.499999999319555,5.217063319597086e-05,0.007345921000023001,1,6.804454777409319e-10,2.220446049250313e-16,3.8830434773746475e-15,1.1102230246251561e-15,8.881784197001252e-16
E1,100,0,persistent_cc_dca,GREEN,71,1,31,17.0,-2.499999999319555,5.217063319597086e-05,0.007120553000049001,1,6.804454777409319e-10,2.220446049250313e-16,3.8830434773746475e-15,1.1102230246251561e-15,8.881784197001252e-16
E1,100,1,plain_dca,FIRST_ORDER,40,0,0,,-1.5,7.161039745088108e-11,0.001234436999993,0,0.9999999999999981,0.0,3.814369721313888e-15,2.2204460492503123e-15,-8.881784197001252e-16
E1,100,1,post_dca,GREEN_POST,68,1,54,40.0,-2.5,9.013349375455278e-11,0.013849795999931,1,-1.332267629550187e-15,0.0,3.814369721313888e-15,2.2204460492503123e-15,-8.881784197001252e-16
E1,100,1,cold_cc_dca,GREEN,80,1,38,17.0,-2.499999999317658,5.224338109538118e-05,0.008358324000028,1,6.82340850488572e-10,0.0,3.814369721313888e-15,2.2204460492503123e-15,-8.881784197001252e-16
E1,100,1,persistent_cc_dca,GREEN,80,1,31,17.0,-2.499999999317658,5.224338109538118e-05,0.007347482999875,1,6.82340850488572e-10,0.0,3.814369721313888e-15,2.2204460492503123e-15,-8.881784197001252e-16
E1,100,2,plain_dca,FIRST_ORDER,40,0,0,,-1.4999999999999991,7.161029009463102e-11,0.001186804999861,0,0.9999999999999981,0.0,7.809119446213863e-15,2.2204460492503123e-15,-8.881784197001252e-16
E1,100,2,post_dca,GREEN_POST,68,1,54,40.0,-2.500000000000001,9.013359484928182e-11,0.013844167000115001,1,-3.108624468950438e-15,0.0,7.809119446213863e-15,2.2204460492503123e-15,-8.881784197001252e-16
E1,100,2,cold_cc_dca,GREEN,74,1,34,17.0,-2.499999999174963,5.7446939266392615e-05,0.00731075900012,1,8.250347072191744e-10,0.0,7.809119446213863e-15,2.2204460492503123e-15,-8.881784197001252e-16
E1,100,2,persistent_cc_dca,GREEN,74,1,31,17.0,-2.499999999174963,5.7446939266392615e-05,0.007190637999883001,1,8.250347072191744e-10,0.0,7.809119446213863e-15,2.2204460492503123e-15,-8.881784197001252e-16
E1,100,3,plain_dca,FIRST_ORDER,40,0,0,,-1.4999999999999991,7.170298371730733e-11,0.001187525999966,0,1.000000000000003,4.440892098500626e-16,3.8866297528369464e-15,2.2204460492503123e-15,-8.881784197001252e-16
E1,100,3,post_dca,GREEN_POST,68,1,54,40.0,-2.500000000000001,9.013295705513356e-11,0.014116687000068,1,1.77635683940025e-15,4.440892098500626e-16,3.8866297528369464e-15,2.2204460492503123e-15,-8.881784197001252e-16
