experiment,axis,value,n,seed,negfrac,bscale,method,status,N_DCA,N_E,N_Av,first_escape_dca,q,S,runtime_sec,stages_completed,objective_gap,ref_feas,ref_stationarity,ref_complementarity,ref_shifted_psd
E5,generic,0.0,400,3,0.1,0.5,persistent_cc_dca,GREEN,846,0,128,,-2.52758679749454,9.633839561327968e-07,0.333894448000137,5,3.952838056875407e-12,4.929390229335695e-14,7.276473120792787e-15,2.467251639325522e-13,0.005186289862912001
E5,generic,0.0,400,3,0.25,0.1,persistent_cc_dca,GREEN,1978,0,128,,-2.502422477201294,1.004059720901987e-06,0.49414978100003204,5,9.340972439986217e-12,0.0,1.0995706761687721e-14,9.849700359575576e-13,0.001026704520359
E5,generic,0.0,400,3,0.25,0.5,persistent_cc_dca,GREEN,1921,0,128,,-2.539788085432843,9.63581047883097e-07,0.49550408400000306,5,-4.2505554631588893e-11,0.0,1.045368147597297e-14,5.191439998493447e-11,0.005495138566737
E5,gap,0.1,200,4,,,persistent_cc_dca,GREEN,1655,1,123,16.0,-2.499999999994933,1.00669347386207e-06,0.25290326599997504,5,,,,,
E5,gap,0.25,200,4,,,persistent_cc_dca,GREEN,669,1,123,15.0,-2.499999999997978,1.0056232134905369e-06,0.187975816000289,5,,,,,
E5,gap,0.5,200,4,,,persistent_cc_dca,GREEN,340,1,123,14.0,-2.4999999999990052,9.983852937625625e-07,0.20320844799971302,5,,,,,
E5,gap,1.0,200,4,,,persistent_cc_dca,GREEN,171,1,123,13.0,-2.499999999999503,9.973208266905012e-07,0.188844863999747,5,,,,,
E5,gap,2.0,200,4,,,persistent_cc_dca,GREEN,74,1,123,15.0,-2.499999999999837,8.097765677188588e-07,0.19673805799993702,5,,,,,
E5,multiplicity,1.0,200,4,,,persistent_cc_dca,GREEN,74,1,123,15.0,-2.499999999999837,8.097765677188588e-07,0.14777598699993102,5,,,,,
E5,multiplicity,2.0,200,4,,,persistent_cc_dca,GREEN,80,1,123,15.0,-2.499999999999822,8.425360875304932e-07,0.172683640999821,5,,,,,
E5,multiplicity,4.0,200,4,,,persistent_cc_dca,GREEN,83,1,123,15.0,-2.499999999999756,9.895930972541563e-07,0.17355498200004102,5,,,,,
E5,multiplicity,8.0,200,4,,,persistent_cc_dca,GREEN,93,1,123,15.0,-2.499999999999751,9.955765629158098e-07,0.14950558800001001,5,,,,,
E5,multiplicity,16.0,200,4,,,persistent_cc_dca,GREEN,81,1,123,14.0,-2.499999999999763,9.748336052797316e-07,0.178414469000017,5,,,,,
E5,extra_negative,0.0,200,4,,,persistent_cc_dca,GREEN,74,1,123,15.0,-2.499999999999837,8.097765677188588e-07,0.18245464399979,5,,,,,
E5,extra_negative,2.0,200,4,,,persistent_cc_dca,GREEN,76,1,123,15.0,-2.499999999999798,9.033796006257917e-07,0.17813572900013203,5,,,,,
E5,extra_negative,5.0,200,4,,,persistent_cc_dca,GREEN,82,1,123,15.0,-2.499999999999776,9.504869954538927e-07,0.14925468999990701,5,,,,,
E5,extra_negative,10.0,200,4,,,persistent_cc_dca,GREEN,81,1,123,14.0,-2.499999999999769,9.63459364363497e-07,0.171398067999689,5,,,,,
E5,extra_negative,20.0,200,4,,,persistent_cc_dca,GREEN,80,1,123,13.0,-2.4999999999998073,8.744627417361624e-07,0.17851256699987,5,,,,,
E5,dimension,100.0,100,4,,,persistent_cc_dca,GREEN,83,1,100,15.0,-2.499999999999798,8.946245278183148e-07,0.089854578000085,5,,,,,
E5,dimension,200.0,200,4,,,persistent_cc_dca,GREEN,74,1,123,15.0,-2.499999999999837,8.097765677188588e-07,0.18721725200020903,5,,,,,
E5,dimension,400.0,400,4,,,persistent_cc_dca,GREEN,85,1,128,15.0,-2.499999999999744,1.010709546743088e-06,0.22974123099993402,5,,,,,
